# mod_sps_phi with P: 7, V1: 1 and V2: 7 steps.
# Array shape: (7, 1, 7)
# x: P (400-2200), y: V1 (700-700), z(slices): V2 (175-295)
# z: V2 [175. 195. 215. 235. 255. 275. 295.]
# y: V1 [700.]
# x: P [ 400.  700. 1000. 1300. 1600. 1900. 2200.]
# V2 slice 175.0V
1.883821184669828881e+02;3.404259325296138172e+02;5.040182677293905726e+02;6.822744986590034841e+02;8.800281110794630877e+02;1.105549626713031103e+03;1.375422405421679059e+03
# V2 slice 195.0V
1.683603048178691779e+02;3.030813808288701239e+02;4.466224968670400699e+02;6.009826431850831341e+02;7.690538215773207185e+02;9.553050709904423456e+02;1.167337186374735438e+03
# V2 slice 215.0V
1.521895254087748981e+02;2.731469417470583494e+02;4.010633498124141738e+02;5.372989071305614743e+02;6.837246633835788998e+02;8.430399471166184640e+02;1.019399738179982705e+03
# V2 slice 235.0V
1.388552944855383942e+02;2.486098604055308954e+02;3.639965353615567665e+02;4.859831080073672638e+02;6.158510458257568416e+02;7.553594863697207984e+02;9.070393093097509336e+02
# V2 slice 255.0V
1.276709423024155399e+02;2.281276385999275647e+02;3.332367699744456786e+02;4.437116536127516611e+02;5.604689659649072837e+02;6.847205447968987073e+02;8.181265300327436307e+02
# V2 slice 275.0V
1.181550197080347289e+02;2.107698580639483339e+02;3.072930484547006813e+02;4.082655742275496209e+02;5.143660859644525090e+02;6.264655932770671143e+02;7.457137332290444647e+02
# V2 slice 295.0V
1.099599214132312994e+02;1.958710408943400978e+02;2.851119795511969528e+02;3.781028238706046523e+02;4.753602026522871142e+02;5.775315368145900266e+02;6.854467010085490983e+02
